date,WSPD,PRES,ATMP,WTMP
2024-01-01,1.10418410041841,1173.4445833333334,6.02943722943723,9.348523206751056
2024-01-02,1.3475,1018.0320833333334,7.115833333333334,9.330833333333334
2024-01-03,2.1350210970464136,1013.6541666666667,8.583122362869199,9.323333333333334
2024-01-04,2.4693617021276597,1093.4283333333333,8.445922746781116,9.379583333333334
2024-01-05,2.78125,1023.3825,7.258403361344538,9.303333333333333
2024-01-06,4.873913043478261,1383.59125,7.594444444444444,9.178787878787878
2024-01-07,2.0508474576271185,1352.3358333333333,5.866183574879227,9.180425531914892
2024-01-08,1.847008547008547,1093.7591666666667,4.871171171171171,9.044255319148936
2024-01-09,5.44125,1001.5278481012658,7.1717299578059075,8.8925
2024-01-10,3.4779166666666668,1003.6679166666667,4.965217391304348,8.918750000000001
2024-01-11,4.685714285714286,1009.3875,4.712,8.820689655172414
2024-01-12,4.070833333333334,1283.13,-6.315086206896551,8.511666666666667
2024-01-13,3.0491525423728816,1358.2216666666666,-6.8489010989010985,8.056277056277056
2024-01-14,1.6845833333333333,1093.9483333333333,-2.957281553398058,8.059583333333332
2024-01-15,1.9336170212765957,1179.0108333333333,-0.7761261261261261,8.446382978723404
2024-01-16,2.28109243697479,1096.33125,0.7695652173913043,8.379583333333334
2024-01-17,2.1,1227.8420833333332,1.6908675799086759,8.429535864978902
2024-01-18,3.0508333333333333,1017.56625,2.633050847457627,8.431932773109244
2024-01-19,4.38,1016.5704166666667,4.871489361702127,8.23875
2024-01-20,1.3029787234042554,1380.8454166666666,5.510365853658537,8.37544642857143
2024-01-21,6.1745535714285715,1173.5174757281554,7.18743961352657,8.165350877192983
2024-01-22,6.289495798319328,1073.2483333333332,8.469626168224298,8.170416666666666
2024-01-23,1.871689497716895,1172.4340909090909,9.017592592592592,8.43909090909091
2024-01-24,6.507172995780591,1084.344769874477,8.664069264069264,8.455230125523013
2024-01-25,8.035294117647059,1087.49125,9.306779661016948,8.472916666666666
2024-01-26,6.641630901287554,1019.51625,9.886036036036035,8.568067226890756
2024-01-27,7.807079646017699,1358.5309322033897,10.478571428571428,8.70892857142857
2024-01-28,4.925,1466.4033333333334,12.125462962962963,8.83608695652174
2024-01-29,6.791139240506329,1091.1404166666666,13.174545454545454,8.938818565400844
2024-01-30,3.8645833333333335,1013.7429166666667,12.346218487394959,9.023333333333333
